Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
428,Play It As It Lays,Joan Didion,"Didion, Joan",,374529949,9780374529949,0,3.90,"Farrar, Straus and Giroux",Paperback,231,2005,1970,,2025/11/22,currently-reading,currently-reading (#3),currently-reading,,,,1,0
88564033,A Leopard-Skin Hat,Anne Serre,"Serre, Anne",Mark Hutchinson,811234517,9780811234511,5,3.47,New Directions,Paperback,122,2023,2008,2025/11/22,2025/11/22,,,read,This book was such a beautiful portrayal of living with mental health issues and witnessing a friend or loved one experience them. I wish there was a bit more criticism of Fanny and less worshipping / glorifying,,,1,0
45046527,American Dirt,Jeanine Cummins,"Cummins, Jeanine",,,,4,4.36,Flatiron Books,Hardcover,459,2020,2020,2025/11/06,2025/10/15,,,read,"I only found out this book was controversial 2/3 of the way through reading it. So, my rating is based solely off of my enjoyment of the book as a story and does not discredit any criticism people have of the author.",,,1,0
200776812,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,63236400,9780063236400,3,3.46,Ecco,Hardcover,464,2024,2017,,2025/10/08,,,read,I already didn’t like butter before this so reading about how greasy it is on every other page made me nauseous ,,,1,0
45304101,The Great Believers,Rebecca Makkai,"Makkai, Rebecca",,073522353X,9780735223530,0,4.29,Penguin Books,Paperback,421,2019,2018,,2025/07/14,to-read,to-read (#10),to-read,,,,0,0
218695909,What Kind of Paradise,Janelle Brown,"Brown, Janelle",,593449789,9780593449783,5,4.14,Random House,Hardcover,368,2025,2025,,2025/07/14,,,read,This book was sooo addictive,,,2,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,802158749,9780802158741,5,4.11,Grove Press,Hardcover,70,2021,2021,2025/03/06,2025/03/06,,,read,A very quick read but a beautiful story. I wish it was longer so I could see the fate of the main character in his struggle of balancing what’s best for his family and what’s best for the vulnerable people in his community.,,,1,0
58662236,Malibu Rising,Taylor Jenkins Reid,"Taylor Jenkins Read",,802158749,9780802158741,4,4.11,Grove Press,Hardcover,384,2021,2021,2025/06/06,2025/06/06,,,read,A very quick read but a beautiful story. I wish it was longer so I could see the fate of the main character in his struggle of balancing what’s best for his family and what’s best for the vulnerable people in his community.,,,1,0
176443312,Fruit of the Dead,Rachel  Lyon,"Lyon, Rachel",,1668020858,9781668020852,4,3.48,Scribner,Hardcover,320,2024,2024,2025/03/05,2025/03/05,,,read,"This book was sooo good and a great beach read. I got kind of scared when I started reading it thinking it would be some gross romance between an old billionaire and the nanny but thankfully it wasn’t (at least not really, he was still a creep).",,,1,0
701724,Fellow Travelers,Thomas Mallon,"Mallon, Thomas",,375423486,9780375423482,0,3.60,Pantheon,Hardcover,356,2007,2007,,2024/07/09,currently-reading,currently-reading (#2),currently-reading,,,,1,0
67238,Dead Poets Society,N.H. Kleinbaum,"Kleinbaum, N.H.",Tom Schulman,553282980,9780553282986,0,4.17,Starfire,Paperback,166,1989,1988,,2025/01/29,to-read,to-read (#9),to-read,,,,0,0
1561703,Diary of an Oxygen Thief,Anonymous,"Anonymous, Anonymous",,908105841X,9789081058414,1,2.71,nlvi,Paperback,140,2006,2006,,2021/1/29,,,read,,,,1,0
581811,Valley of the Dolls,Jacqueline Susann,"Susann, Jacqueline",,802135196,9780802135193,0,3.86,Grove Press,Paperback,448,1997,1966,,2025/01/29,to-read,to-read (#8),to-read,,,,0,0
68783,"Girl, Interrupted",Susanna Kaysen,"Kaysen, Susanna",,679746048,9780679746041,4,3.94,Vintage ,Paperback,169,1994,1993,2025/01/29,2025/01/28,,,read,"Super quick read, I loved the writing style. I watched the movie and thought it was meh, which put me off from reading the book. But actually it was so much better, and I liked Lisa’s ending in it.",,,1,0
13747794,The Uncensored Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Nicholas Frankel,674066316,9780674066311,5,4.27,Belknap Press: An Imprint of Harvard University Press,Paperback,260,2012,1890,2025/01/27,2025/01/23,,,read,This is going in my list of favorite books of all time. The best way I can describe it is everything that The Secret History wishes it was.,,,1,0
10956,The Virgin Suicides,Jeffrey Eugenides,"Eugenides, Jeffrey",,747560595,9780747560593,0,3.78,Bloomsbury Paperbacks,Paperback,250,2002,1993,2023/08/15,2023/1/25,,,read,,,,1,0
5148,A Separate Peace,John Knowles,"Knowles, John",David Levithan,,,0,3.60,Scribner,Paperback,208,2003,1959,,2025/01/25,to-read,to-read (#7),to-read,,,,0,0
177185976,Victim,Andrew Boryga,"Boryga, Andrew",,385549970,9780385549974,0,3.82,Doubleday,Hardcover,276,2024,2024,,2025/01/25,to-read,to-read (#6),to-read,,,,0,0
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,374602638,9780374602635,0,3.82,"Farrar, Straus and Giroux",Hardcover,464,2024,2024,,2025/01/25,to-read,to-read (#5),to-read,,,,0,0
127305853,The Women,Kristin Hannah,"Hannah, Kristin",,1250178630,9781250178633,0,4.59,St. Martin's Press,Hardcover,471,2024,2024,,2025/01/25,to-read,to-read (#4),to-read,,,,0,0
40864002,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky Chambers,"Chambers, Becky",,,,3,4.22,Tordotcom,ebook,151,2021,2021,2025/01/15,2025/01/15,,,read,I did like this book but the main character complained too much and had a lot of self-pity. I really liked the robot character and also the descriptions of nature. It was a very calming book to read.,,,1,0
24388326,The Heart Goes Last,Margaret Atwood,"Atwood, Margaret",,385540353,9780385540353,4,3.40,Nan A. Talese,Hardcover,320,2015,2015,2025/01/13,2025/01/06,,,read,I really liked the plot and parts were quite funny. there were interesting takes on love and identity. I found this book randomly in the used book section of a harvard book store and I’m so glad i did !,,,1,0
60324341,Brotherless Night,V.V. Ganeshananthan,"Ganeshananthan, V.V.",,812997158,9780812997156,0,4.45,Random House,Hardcover,348,2023,2023,,2025/01/07,to-read,to-read (#3),to-read,,,,0,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,553448188,9780553448184,4,3.65,Hogarth,Hardcover,158,2016,2007,2025/01/06,2025/01/05,,,read,very disturbing and the second chapter was hard to read. other than that i loved it,,,1,0
197522433,Mood Swings,Frankie Barnet,"Barnet, Frankie",,1662602596,9781662602597,4,3.50,Astra House,Hardcover,304,2024,2024,2025/01/04,2025/01/05,,,read,This was good but kind of weird,,,1,0
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,1524798622,9781524798628,0,4.20,Ballantine Books,Hardcover,368,2019,2019,,2025/01/06,,,read,,,,1,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,571268862,9780571268863,0,4.05,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2025/01/06,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,743477111,9780743477116,0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1590,,2021/08/20,,,read,,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,,,5,4.39,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2021/08/20,,,read,,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,385539258,9780385539258,4,4.28,Doubleday,Hardcover,720,2015,2015,2021/08/15,2021/08/15,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,684830493,9780684830490,0,3.81,Scribner,Hardcover,96,1996,1952,,2021/08/20,,,read,,,,1,0
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"Yancey, Rick",,399162410,9780399162411,0,4.00,G.P. Putnam's Sons Books for Young Readers,Hardcover,457,2013,2013,,2021/08/20,,,read,,,,1,0
6482837,Before I Fall,Lauren Oliver,"Oliver, Lauren",,61726818,9780061726811,0,3.88,HarperCollins,Paperback,470,2010,2010,,2021/08/20,,,read,,,,1,0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,316310271,9780316310277,0,4.01,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,,2021/08/20,,,read,,,,1,0
7735333,"Matched (Matched, #1)",Ally Condie,"Condie, Ally",,525423648,9780525423645,0,3.62,Dutton Books for Young Readers,Hardcover,369,2010,2010,,2021/08/20,,,read,,,,1,0
4374400,"If I Stay (If I Stay, #1)",Gayle Forman,"Forman, Gayle",,525421033,9780525421030,0,3.91,Viking,Hardcover,208,2009,2009,,2021/08/20,,,read,,,,1,0
